total_gold_earned_0, 50158
total_gold_spent_0, 47585
total_baron_kills_0, 0
total_dragon_kills_0, 2
total_inhibitor_kils_0, 1
total_kills_0, 14
total_deaths_0, 39
total_damage_dealt_to_champions_0, 65753
total_damage_dealt_to_objectives_0, 41089
total_damage_taken_0, 110727
average_vision_score_0, 26
total_wards_placed_0, 65
average_creep_score_0, 134
average_champion_experience_0, 12302
dmg_carry_0, 14
obj_carry_0, 14
team_comp_0_champ_1, Sion
team_comp_0_champ_2, Graves
team_comp_0_champ_3, Yasuo
team_comp_0_champ_4, Tristana
team_comp_0_champ_5, Annie
total_gold_earned_1, 60872
total_gold_spent_1, 51570
total_baron_kills_1, 1
total_dragon_kills_1, 3
total_inhibitor_kils_1, 3
total_kills_1, 39
total_deaths_1, 14
total_damage_dealt_to_champions_1, 88671
total_damage_dealt_to_objectives_1, 80578
total_damage_taken_1, 98561
average_vision_score_1, 22
total_wards_placed_1, 61
average_creep_score_1, 115
average_champion_experience_1, 14980
dmg_carry_1, 240
obj_carry_1, 240
team_comp_1_champ_1, Kled
team_comp_1_champ_2, Nunu
team_comp_1_champ_3, Katarina
team_comp_1_champ_4, Twitch
team_comp_1_champ_5, Yuumi
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 0
cs_winner, 0
champ_experience_winner, 1
wards_placed_winner, 0
gold_spender_winner, 1
final_match_winner, 1
