total_gold_earned_0, 46971
total_gold_spent_0, 39720
total_baron_kills_0, 1
total_dragon_kills_0, 3
total_inhibitor_kils_0, 1
total_kills_0, 27
total_deaths_0, 11
total_damage_dealt_to_champions_0, 61719
total_damage_dealt_to_objectives_0, 85850
total_damage_taken_0, 72187
average_vision_score_0, 20
total_wards_placed_0, 40
average_creep_score_0, 90
average_champion_experience_0, 10464
dmg_carry_0, 222
obj_carry_0, 222
team_comp_0_champ_1, Pantheon
team_comp_0_champ_2, Trundle
team_comp_0_champ_3, Fizz
team_comp_0_champ_4, Jinx
team_comp_0_champ_5, Janna
total_gold_earned_1, 39299
total_gold_spent_1, 36410
total_baron_kills_1, 0
total_dragon_kills_1, 1
total_inhibitor_kils_1, 0
total_kills_1, 10
total_deaths_1, 27
total_damage_dealt_to_champions_1, 39392
total_damage_dealt_to_objectives_1, 22046
total_damage_taken_1, 78200
average_vision_score_1, 15
total_wards_placed_1, 41
average_creep_score_1, 102
average_champion_experience_1, 8744
dmg_carry_1, 4
obj_carry_1, 4
team_comp_1_champ_1, Warwick
team_comp_1_champ_2, Poppy
team_comp_1_champ_3, TwistedFate
team_comp_1_champ_4, Zeri
team_comp_1_champ_5, Nautilus
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 1
champ_experience_winner, 0
wards_placed_winner, 1
gold_spender_winner, 0
final_match_winner, 0
