total_gold_earned_0, 61237
total_gold_spent_0, 53308
total_baron_kills_0, 1
total_dragon_kills_0, 3
total_inhibitor_kils_0, 1
total_kills_0, 45
total_deaths_0, 18
total_damage_dealt_to_champions_0, 87158
total_damage_dealt_to_objectives_0, 68981
total_damage_taken_0, 94068
average_vision_score_0, 28
total_wards_placed_0, 45
average_creep_score_0, 100
average_champion_experience_0, 13344
dmg_carry_0, 68
obj_carry_0, 68
team_comp_0_champ_1, Rumble
team_comp_0_champ_2, Zac
team_comp_0_champ_3, Pyke
team_comp_0_champ_4, Zeri
team_comp_0_champ_5, Alistar
total_gold_earned_1, 44746
total_gold_spent_1, 45825
total_baron_kills_1, 0
total_dragon_kills_1, 0
total_inhibitor_kils_1, 0
total_kills_1, 18
total_deaths_1, 45
total_damage_dealt_to_champions_1, 62153
total_damage_dealt_to_objectives_1, 15947
total_damage_taken_1, 108084
average_vision_score_1, 20
total_wards_placed_1, 45
average_creep_score_1, 98
average_champion_experience_1, 9991
dmg_carry_1, 99
obj_carry_1, 99
team_comp_1_champ_1, Renekton
team_comp_1_champ_2, Trundle
team_comp_1_champ_3, Yasuo
team_comp_1_champ_4, Lucian
team_comp_1_champ_5, Lux
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
