total_gold_earned_0, 42183
total_gold_spent_0, 37210
total_baron_kills_0, 0
total_dragon_kills_0, 2
total_inhibitor_kils_0, 2
total_kills_0, 32
total_deaths_0, 13
total_damage_dealt_to_champions_0, 49803
total_damage_dealt_to_objectives_0, 64808
total_damage_taken_0, 54043
average_vision_score_0, 14
total_wards_placed_0, 32
average_creep_score_0, 63
average_champion_experience_0, 8578
dmg_carry_0, 11
obj_carry_0, 11
team_comp_0_champ_1, TahmKench
team_comp_0_champ_2, MasterYi
team_comp_0_champ_3, Ahri
team_comp_0_champ_4, Tristana
team_comp_0_champ_5, Soraka
total_gold_earned_1, 29230
total_gold_spent_1, 26025
total_baron_kills_1, 0
total_dragon_kills_1, 0
total_inhibitor_kils_1, 0
total_kills_1, 13
total_deaths_1, 32
total_damage_dealt_to_champions_1, 36701
total_damage_dealt_to_objectives_1, 5082
total_damage_taken_1, 63592
average_vision_score_1, 5
total_wards_placed_1, 18
average_creep_score_1, 68
average_champion_experience_1, 6504
dmg_carry_1, 91
obj_carry_1, 91
team_comp_1_champ_1, Akali
team_comp_1_champ_2, Talon
team_comp_1_champ_3, Yone
team_comp_1_champ_4, MissFortune
team_comp_1_champ_5, Leona
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 1
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
