total_gold_earned_0, 51504
total_gold_spent_0, 46500
total_baron_kills_0, 1
total_dragon_kills_0, 2
total_inhibitor_kils_0, 0
total_kills_0, 36
total_deaths_0, 21
total_damage_dealt_to_champions_0, 77898
total_damage_dealt_to_objectives_0, 62151
total_damage_taken_0, 74226
average_vision_score_0, 20
total_wards_placed_0, 52
average_creep_score_0, 90
average_champion_experience_0, 10454
dmg_carry_0, 119
obj_carry_0, 119
team_comp_0_champ_1, Sett
team_comp_0_champ_2, Diana
team_comp_0_champ_3, Yasuo
team_comp_0_champ_4, Draven
team_comp_0_champ_5, Senna
total_gold_earned_1, 39126
total_gold_spent_1, 36350
total_baron_kills_1, 0
total_dragon_kills_1, 1
total_inhibitor_kils_1, 0
total_kills_1, 21
total_deaths_1, 36
total_damage_dealt_to_champions_1, 51114
total_damage_dealt_to_objectives_1, 16272
total_damage_taken_1, 90085
average_vision_score_1, 15
total_wards_placed_1, 38
average_creep_score_1, 87
average_champion_experience_1, 8999
dmg_carry_1, 56
obj_carry_1, 56
team_comp_1_champ_1, Aatrox
team_comp_1_champ_2, Nocturne
team_comp_1_champ_3, AurelionSol
team_comp_1_champ_4, Vayne
team_comp_1_champ_5, Yuumi
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
