total_gold_earned_0, 42367
total_gold_spent_0, 32935
total_baron_kills_0, 0
total_dragon_kills_0, 0
total_inhibitor_kils_0, 1
total_kills_0, 24
total_deaths_0, 13
total_damage_dealt_to_champions_0, 51427
total_damage_dealt_to_objectives_0, 43112
total_damage_taken_0, 50872
average_vision_score_0, 11
total_wards_placed_0, 28
average_creep_score_0, 82
average_champion_experience_0, 8962
dmg_carry_0, 141
obj_carry_0, 141
team_comp_0_champ_1, Urgot
team_comp_0_champ_2, Kayn
team_comp_0_champ_3, Ziggs
team_comp_0_champ_4, Samira
team_comp_0_champ_5, Yuumi
total_gold_earned_1, 30050
total_gold_spent_1, 26675
total_baron_kills_1, 0
total_dragon_kills_1, 2
total_inhibitor_kils_1, 0
total_kills_1, 13
total_deaths_1, 24
total_damage_dealt_to_champions_1, 34228
total_damage_dealt_to_objectives_1, 19138
total_damage_taken_1, 69606
average_vision_score_1, 11
total_wards_placed_1, 24
average_creep_score_1, 78
average_champion_experience_1, 6999
dmg_carry_1, 21
obj_carry_1, 21
team_comp_1_champ_1, Ornn
team_comp_1_champ_2, Belveth
team_comp_1_champ_3, Yasuo
team_comp_1_champ_4, MissFortune
team_comp_1_champ_5, Thresh
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
