total_gold_earned_0, 80374
total_gold_spent_0, 72760
total_baron_kills_0, 2
total_dragon_kills_0, 5
total_inhibitor_kils_0, 2
total_kills_0, 57
total_deaths_0, 39
total_damage_dealt_to_champions_0, 144598
total_damage_dealt_to_objectives_0, 91268
total_damage_taken_0, 124746
average_vision_score_0, 31
total_wards_placed_0, 73
average_creep_score_0, 111
average_champion_experience_0, 17572
dmg_carry_0, 32
obj_carry_0, 32
team_comp_0_champ_1, Gangplank
team_comp_0_champ_2, Amumu
team_comp_0_champ_3, JarvanIV
team_comp_0_champ_4, Twitch
team_comp_0_champ_5, Nautilus
total_gold_earned_1, 65165
total_gold_spent_1, 66343
total_baron_kills_1, 0
total_dragon_kills_1, 0
total_inhibitor_kils_1, 0
total_kills_1, 38
total_deaths_1, 57
total_damage_dealt_to_champions_1, 100370
total_damage_dealt_to_objectives_1, 20561
total_damage_taken_1, 168609
average_vision_score_1, 20
total_wards_placed_1, 53
average_creep_score_1, 115
average_champion_experience_1, 15349
dmg_carry_1, 221
obj_carry_1, 221
team_comp_1_champ_1, Darius
team_comp_1_champ_2, XinZhao
team_comp_1_champ_3, Yone
team_comp_1_champ_4, Zeri
team_comp_1_champ_5, Seraphine
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 1
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
