total_gold_earned_0, 58358
total_gold_spent_0, 56103
total_baron_kills_0, 1
total_dragon_kills_0, 3
total_inhibitor_kils_0, 1
total_kills_0, 21
total_deaths_0, 36
total_damage_dealt_to_champions_0, 103889
total_damage_dealt_to_objectives_0, 75455
total_damage_taken_0, 173266
average_vision_score_0, 32
total_wards_placed_0, 76
average_creep_score_0, 116
average_champion_experience_0, 13586
dmg_carry_0, 420
obj_carry_0, 420
team_comp_0_champ_1, Illaoi
team_comp_0_champ_2, Hecarim
team_comp_0_champ_3, Zilean
team_comp_0_champ_4, MissFortune
team_comp_0_champ_5, Seraphine
total_gold_earned_1, 68548
total_gold_spent_1, 63175
total_baron_kills_1, 1
total_dragon_kills_1, 2
total_inhibitor_kils_1, 1
total_kills_1, 36
total_deaths_1, 21
total_damage_dealt_to_champions_1, 141843
total_damage_dealt_to_objectives_1, 59569
total_damage_taken_1, 138255
average_vision_score_1, 27
total_wards_placed_1, 63
average_creep_score_1, 129
average_champion_experience_1, 16257
dmg_carry_1, 112
obj_carry_1, 112
team_comp_1_champ_1, Kled
team_comp_1_champ_2, Kayn
team_comp_1_champ_3, Viktor
team_comp_1_champ_4, Caitlyn
team_comp_1_champ_5, Nami
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 0
gold_spender_winner, 1
final_match_winner, 1
