total_gold_earned_0, 69183
total_gold_spent_0, 61908
total_baron_kills_0, 1
total_dragon_kills_0, 3
total_inhibitor_kils_0, 2
total_kills_0, 42
total_deaths_0, 27
total_damage_dealt_to_champions_0, 117856
total_damage_dealt_to_objectives_0, 111016
total_damage_taken_0, 125216
average_vision_score_0, 32
total_wards_placed_0, 78
average_creep_score_0, 117
average_champion_experience_0, 14640
dmg_carry_0, 523
obj_carry_0, 523
team_comp_0_champ_1, Darius
team_comp_0_champ_2, Trundle
team_comp_0_champ_3, Vex
team_comp_0_champ_4, Aphelios
team_comp_0_champ_5, Pyke
total_gold_earned_1, 52303
total_gold_spent_1, 49435
total_baron_kills_1, 0
total_dragon_kills_1, 1
total_inhibitor_kils_1, 0
total_kills_1, 27
total_deaths_1, 42
total_damage_dealt_to_champions_1, 85614
total_damage_dealt_to_objectives_1, 15752
total_damage_taken_1, 138518
average_vision_score_1, 18
total_wards_placed_1, 47
average_creep_score_1, 108
average_champion_experience_1, 11808
dmg_carry_1, 141
obj_carry_1, 141
team_comp_1_champ_1, Sejuani
team_comp_1_champ_2, Kayn
team_comp_1_champ_3, Ryze
team_comp_1_champ_4, Vayne
team_comp_1_champ_5, Alistar
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
