total_gold_earned_0, 73385
total_gold_spent_0, 65335
total_baron_kills_0, 2
total_dragon_kills_0, 2
total_inhibitor_kils_0, 2
total_kills_0, 37
total_deaths_0, 38
total_damage_dealt_to_champions_0, 139505
total_damage_dealt_to_objectives_0, 83449
total_damage_taken_0, 155805
average_vision_score_0, 34
total_wards_placed_0, 66
average_creep_score_0, 136
average_champion_experience_0, 18051
dmg_carry_0, 21
obj_carry_0, 21
team_comp_0_champ_1, Yone
team_comp_0_champ_2, Shyvana
team_comp_0_champ_3, Karthus
team_comp_0_champ_4, MissFortune
team_comp_0_champ_5, Nautilus
total_gold_earned_1, 64117
total_gold_spent_1, 62730
total_baron_kills_1, 0
total_dragon_kills_1, 4
total_inhibitor_kils_1, 0
total_kills_1, 38
total_deaths_1, 37
total_damage_dealt_to_champions_1, 120219
total_damage_dealt_to_objectives_1, 61625
total_damage_taken_1, 165368
average_vision_score_1, 41
total_wards_placed_1, 79
average_creep_score_1, 123
average_champion_experience_1, 15431
dmg_carry_1, 141
obj_carry_1, 141
team_comp_1_champ_1, Heimerdinger
team_comp_1_champ_2, Kayn
team_comp_1_champ_3, Soraka
team_comp_1_champ_4, KogMaw
team_comp_1_champ_5, Sona
gameLengthMin, 37
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 1
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 1
gold_spender_winner, 0
final_match_winner, 0
