total_gold_earned_0, 60206
total_gold_spent_0, 53560
total_baron_kills_0, 1
total_dragon_kills_0, 3
total_inhibitor_kils_0, 3
total_kills_0, 42
total_deaths_0, 34
total_damage_dealt_to_champions_0, 93771
total_damage_dealt_to_objectives_0, 90908
total_damage_taken_0, 138603
average_vision_score_0, 17
total_wards_placed_0, 44
average_creep_score_0, 99
average_champion_experience_0, 12991
dmg_carry_0, 360
obj_carry_0, 360
team_comp_0_champ_1, Tryndamere
team_comp_0_champ_2, XinZhao
team_comp_0_champ_3, Sylas
team_comp_0_champ_4, Samira
team_comp_0_champ_5, Alistar
total_gold_earned_1, 50619
total_gold_spent_1, 46175
total_baron_kills_1, 0
total_dragon_kills_1, 1
total_inhibitor_kils_1, 0
total_kills_1, 32
total_deaths_1, 42
total_damage_dealt_to_champions_1, 91337
total_damage_dealt_to_objectives_1, 22477
total_damage_taken_1, 112306
average_vision_score_1, 20
total_wards_placed_1, 40
average_creep_score_1, 100
average_champion_experience_1, 11878
dmg_carry_1, 518
obj_carry_1, 518
team_comp_1_champ_1, Irelia
team_comp_1_champ_2, Nocturne
team_comp_1_champ_3, Neeko
team_comp_1_champ_4, MissFortune
team_comp_1_champ_5, Leona
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 1
cs_winner, 1
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
