total_gold_earned_0, 49113
total_gold_spent_0, 46135
total_baron_kills_0, 0
total_dragon_kills_0, 0
total_inhibitor_kils_0, 0
total_kills_0, 19
total_deaths_0, 43
total_damage_dealt_to_champions_0, 94521
total_damage_dealt_to_objectives_0, 17183
total_damage_taken_0, 151916
average_vision_score_0, 22
total_wards_placed_0, 55
average_creep_score_0, 101
average_champion_experience_0, 10550
dmg_carry_0, 36
obj_carry_0, 36
team_comp_0_champ_1, DrMundo
team_comp_0_champ_2, Nocturne
team_comp_0_champ_3, Sylas
team_comp_0_champ_4, Aphelios
team_comp_0_champ_5, Senna
total_gold_earned_1, 60538
total_gold_spent_1, 51510
total_baron_kills_1, 1
total_dragon_kills_1, 4
total_inhibitor_kils_1, 1
total_kills_1, 42
total_deaths_1, 19
total_damage_dealt_to_champions_1, 124466
total_damage_dealt_to_objectives_1, 87471
total_damage_taken_1, 131485
average_vision_score_1, 24
total_wards_placed_1, 55
average_creep_score_1, 103
average_champion_experience_1, 13902
dmg_carry_1, 516
obj_carry_1, 516
team_comp_1_champ_1, Ornn
team_comp_1_champ_2, LeeSin
team_comp_1_champ_3, Kassadin
team_comp_1_champ_4, Yasuo
team_comp_1_champ_5, Nami
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 0
gold_spender_winner, 1
final_match_winner, 1
