total_gold_earned_0, 55500
total_gold_spent_0, 54150
total_baron_kills_0, 0
total_dragon_kills_0, 4
total_inhibitor_kils_0, 0
total_kills_0, 23
total_deaths_0, 27
total_damage_dealt_to_champions_0, 111910
total_damage_dealt_to_objectives_0, 57234
total_damage_taken_0, 139149
average_vision_score_0, 25
total_wards_placed_0, 57
average_creep_score_0, 119
average_champion_experience_0, 13019
dmg_carry_0, 240
obj_carry_0, 240
team_comp_0_champ_1, Kled
team_comp_0_champ_2, Volibear
team_comp_0_champ_3, Orianna
team_comp_0_champ_4, Zeri
team_comp_0_champ_5, MissFortune
total_gold_earned_1, 60433
total_gold_spent_1, 54310
total_baron_kills_1, 0
total_dragon_kills_1, 1
total_inhibitor_kils_1, 1
total_kills_1, 27
total_deaths_1, 23
total_damage_dealt_to_champions_1, 116056
total_damage_dealt_to_objectives_1, 42941
total_damage_taken_1, 147012
average_vision_score_1, 29
total_wards_placed_1, 66
average_creep_score_1, 127
average_champion_experience_1, 14721
dmg_carry_1, 82
obj_carry_1, 82
team_comp_1_champ_1, Mordekaiser
team_comp_1_champ_2, Kayn
team_comp_1_champ_3, Yasuo
team_comp_1_champ_4, Twitch
team_comp_1_champ_5, Zilean
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 0
vision_winner, 1
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 1
