total_gold_earned_0, 86636
total_gold_spent_0, 77383
total_baron_kills_0, 0
total_dragon_kills_0, 5
total_inhibitor_kils_0, 4
total_kills_0, 59
total_deaths_0, 52
total_damage_dealt_to_champions_0, 188104
total_damage_dealt_to_objectives_0, 123238
total_damage_taken_0, 237174
average_vision_score_0, 38
total_wards_placed_0, 71
average_creep_score_0, 152
average_champion_experience_0, 20956
dmg_carry_0, 114
obj_carry_0, 114
team_comp_0_champ_1, Fiora
team_comp_0_champ_2, Rengar
team_comp_0_champ_3, Ekko
team_comp_0_champ_4, Ezreal
team_comp_0_champ_5, Morgana
total_gold_earned_1, 81131
total_gold_spent_1, 81008
total_baron_kills_1, 1
total_dragon_kills_1, 1
total_inhibitor_kils_1, 0
total_kills_1, 52
total_deaths_1, 59
total_damage_dealt_to_champions_1, 190771
total_damage_dealt_to_objectives_1, 46712
total_damage_taken_1, 211812
average_vision_score_1, 33
total_wards_placed_1, 78
average_creep_score_1, 154
average_champion_experience_1, 20261
dmg_carry_1, 103
obj_carry_1, 103
team_comp_1_champ_1, Jax
team_comp_1_champ_2, Shyvana
team_comp_1_champ_3, Ahri
team_comp_1_champ_4, Jinx
team_comp_1_champ_5, Zyra
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 1
champ_experience_winner, 0
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 0
