total_gold_earned_0, 64968
total_gold_spent_0, 58625
total_baron_kills_0, 1
total_dragon_kills_0, 3
total_inhibitor_kils_0, 3
total_kills_0, 42
total_deaths_0, 23
total_damage_dealt_to_champions_0, 108773
total_damage_dealt_to_objectives_0, 80251
total_damage_taken_0, 117602
average_vision_score_0, 32
total_wards_placed_0, 73
average_creep_score_0, 110
average_champion_experience_0, 15502
dmg_carry_0, 45
obj_carry_0, 45
team_comp_0_champ_1, Malphite
team_comp_0_champ_2, Zed
team_comp_0_champ_3, Veigar
team_comp_0_champ_4, Varus
team_comp_0_champ_5, Syndra
total_gold_earned_1, 53963
total_gold_spent_1, 50960
total_baron_kills_1, 0
total_dragon_kills_1, 1
total_inhibitor_kils_1, 1
total_kills_1, 23
total_deaths_1, 42
total_damage_dealt_to_champions_1, 85813
total_damage_dealt_to_objectives_1, 34950
total_damage_taken_1, 133561
average_vision_score_1, 18
total_wards_placed_1, 41
average_creep_score_1, 113
average_champion_experience_1, 11701
dmg_carry_1, 17
obj_carry_1, 17
team_comp_1_champ_1, Teemo
team_comp_1_champ_2, Vi
team_comp_1_champ_3, Kassadin
team_comp_1_champ_4, Draven
team_comp_1_champ_5, Blitzcrank
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 1
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
