total_gold_earned_0, 68454
total_gold_spent_0, 60308
total_baron_kills_0, 0
total_dragon_kills_0, 5
total_inhibitor_kils_0, 3
total_kills_0, 46
total_deaths_0, 24
total_damage_dealt_to_champions_0, 91208
total_damage_dealt_to_objectives_0, 76434
total_damage_taken_0, 107341
average_vision_score_0, 36
total_wards_placed_0, 77
average_creep_score_0, 117
average_champion_experience_0, 15946
dmg_carry_0, 81
obj_carry_0, 81
team_comp_0_champ_1, Camille
team_comp_0_champ_2, Graves
team_comp_0_champ_3, Orianna
team_comp_0_champ_4, Ezreal
team_comp_0_champ_5, Pyke
total_gold_earned_1, 51206
total_gold_spent_1, 49583
total_baron_kills_1, 0
total_dragon_kills_1, 0
total_inhibitor_kils_1, 0
total_kills_1, 24
total_deaths_1, 46
total_damage_dealt_to_champions_1, 73206
total_damage_dealt_to_objectives_1, 9064
total_damage_taken_1, 109685
average_vision_score_1, 25
total_wards_placed_1, 59
average_creep_score_1, 116
average_champion_experience_1, 13153
dmg_carry_1, 90
obj_carry_1, 90
team_comp_1_champ_1, Darius
team_comp_1_champ_2, RekSai
team_comp_1_champ_3, Malzahar
team_comp_1_champ_4, Caitlyn
team_comp_1_champ_5, Seraphine
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
