total_gold_earned_0, 33336
total_gold_spent_0, 30300
total_baron_kills_0, 0
total_dragon_kills_0, 0
total_inhibitor_kils_0, 0
total_kills_0, 11
total_deaths_0, 23
total_damage_dealt_to_champions_0, 37961
total_damage_dealt_to_objectives_0, 9559
total_damage_taken_0, 68491
average_vision_score_0, 17
total_wards_placed_0, 45
average_creep_score_0, 95
average_champion_experience_0, 8329
dmg_carry_0, 36
obj_carry_0, 36
team_comp_0_champ_1, DrMundo
team_comp_0_champ_2, Jax
team_comp_0_champ_3, Yasuo
team_comp_0_champ_4, Nilah
team_comp_0_champ_5, Karma
total_gold_earned_1, 46213
total_gold_spent_1, 42675
total_baron_kills_1, 1
total_dragon_kills_1, 3
total_inhibitor_kils_1, 1
total_kills_1, 23
total_deaths_1, 11
total_damage_dealt_to_champions_1, 49203
total_damage_dealt_to_objectives_1, 77134
total_damage_taken_1, 65214
average_vision_score_1, 18
total_wards_placed_1, 40
average_creep_score_1, 91
average_champion_experience_1, 10156
dmg_carry_1, 82
obj_carry_1, 82
team_comp_1_champ_1, Illaoi
team_comp_1_champ_2, MasterYi
team_comp_1_champ_3, Mordekaiser
team_comp_1_champ_4, Caitlyn
team_comp_1_champ_5, Leona
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 0
champ_experience_winner, 1
wards_placed_winner, 0
gold_spender_winner, 1
final_match_winner, 1
