total_gold_earned_0, 59188
total_gold_spent_0, 54205
total_baron_kills_0, 1
total_dragon_kills_0, 2
total_inhibitor_kils_0, 2
total_kills_0, 35
total_deaths_0, 13
total_damage_dealt_to_champions_0, 70651
total_damage_dealt_to_objectives_0, 75404
total_damage_taken_0, 68811
average_vision_score_0, 23
total_wards_placed_0, 60
average_creep_score_0, 114
average_champion_experience_0, 13655
dmg_carry_0, 141
obj_carry_0, 141
team_comp_0_champ_1, Darius
team_comp_0_champ_2, Kayn
team_comp_0_champ_3, Yone
team_comp_0_champ_4, Caitlyn
team_comp_0_champ_5, Blitzcrank
total_gold_earned_1, 41615
total_gold_spent_1, 38800
total_baron_kills_1, 0
total_dragon_kills_1, 2
total_inhibitor_kils_1, 0
total_kills_1, 13
total_deaths_1, 35
total_damage_dealt_to_champions_1, 33221
total_damage_dealt_to_objectives_1, 30867
total_damage_taken_1, 87434
average_vision_score_1, 19
total_wards_placed_1, 36
average_creep_score_1, 101
average_champion_experience_1, 10447
dmg_carry_1, 25
obj_carry_1, 25
team_comp_1_champ_1, Irelia
team_comp_1_champ_2, Viego
team_comp_1_champ_3, Veigar
team_comp_1_champ_4, Sivir
team_comp_1_champ_5, Morgana
gameLengthMin, 28
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
