total_gold_earned_0, 51043
total_gold_spent_0, 46640
total_baron_kills_0, 0
total_dragon_kills_0, 2
total_inhibitor_kils_0, 1
total_kills_0, 38
total_deaths_0, 23
total_damage_dealt_to_champions_0, 85212
total_damage_dealt_to_objectives_0, 33971
total_damage_taken_0, 82424
average_vision_score_0, 20
total_wards_placed_0, 46
average_creep_score_0, 84
average_champion_experience_0, 11320
dmg_carry_0, 82
obj_carry_0, 82
team_comp_0_champ_1, Mordekaiser
team_comp_0_champ_2, Kayn
team_comp_0_champ_3, Lux
team_comp_0_champ_4, Lucian
team_comp_0_champ_5, Vex
total_gold_earned_1, 40435
total_gold_spent_1, 38875
total_baron_kills_1, 0
total_dragon_kills_1, 2
total_inhibitor_kils_1, 0
total_kills_1, 23
total_deaths_1, 38
total_damage_dealt_to_champions_1, 59667
total_damage_dealt_to_objectives_1, 33848
total_damage_taken_1, 104649
average_vision_score_1, 13
total_wards_placed_1, 33
average_creep_score_1, 74
average_champion_experience_1, 9201
dmg_carry_1, 164
obj_carry_1, 164
team_comp_1_champ_1, Camille
team_comp_1_champ_2, Khazix
team_comp_1_champ_3, Annie
team_comp_1_champ_4, Vayne
team_comp_1_champ_5, Yuumi
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
