total_gold_earned_0, 45828
total_gold_spent_0, 42660
total_baron_kills_0, 0
total_dragon_kills_0, 3
total_inhibitor_kils_0, 1
total_kills_0, 26
total_deaths_0, 20
total_damage_dealt_to_champions_0, 62625
total_damage_dealt_to_objectives_0, 76380
total_damage_taken_0, 67449
average_vision_score_0, 17
total_wards_placed_0, 32
average_creep_score_0, 79
average_champion_experience_0, 9160
dmg_carry_0, 18
obj_carry_0, 18
team_comp_0_champ_1, Teemo
team_comp_0_champ_2, Udyr
team_comp_0_champ_3, Tristana
team_comp_0_champ_4, Vayne
team_comp_0_champ_5, Morgana
total_gold_earned_1, 38530
total_gold_spent_1, 36810
total_baron_kills_1, 0
total_dragon_kills_1, 0
total_inhibitor_kils_1, 0
total_kills_1, 20
total_deaths_1, 26
total_damage_dealt_to_champions_1, 44741
total_damage_dealt_to_objectives_1, 10494
total_damage_taken_1, 80375
average_vision_score_1, 16
total_wards_placed_1, 29
average_creep_score_1, 79
average_champion_experience_1, 8748
dmg_carry_1, 9
obj_carry_1, 9
team_comp_1_champ_1, FiddleSticks
team_comp_1_champ_2, Tryndamere
team_comp_1_champ_3, Katarina
team_comp_1_champ_4, Caitlyn
team_comp_1_champ_5, Yuumi
gameLengthMin, 24
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
