total_gold_earned_0, 71759
total_gold_spent_0, 65540
total_baron_kills_0, 0
total_dragon_kills_0, 1
total_inhibitor_kils_0, 0
total_kills_0, 48
total_deaths_0, 57
total_damage_dealt_to_champions_0, 163466
total_damage_dealt_to_objectives_0, 33070
total_damage_taken_0, 179697
average_vision_score_0, 29
total_wards_placed_0, 73
average_creep_score_0, 130
average_champion_experience_0, 16925
dmg_carry_0, 55
obj_carry_0, 55
team_comp_0_champ_1, Heimerdinger
team_comp_0_champ_2, Udyr
team_comp_0_champ_3, Katarina
team_comp_0_champ_4, Caitlyn
team_comp_0_champ_5, Morgana
total_gold_earned_1, 78573
total_gold_spent_1, 69780
total_baron_kills_1, 2
total_dragon_kills_1, 5
total_inhibitor_kils_1, 4
total_kills_1, 57
total_deaths_1, 49
total_damage_dealt_to_champions_1, 149649
total_damage_dealt_to_objectives_1, 147994
total_damage_taken_1, 208496
average_vision_score_1, 31
total_wards_placed_1, 63
average_creep_score_1, 97
average_champion_experience_1, 18614
dmg_carry_1, 62
obj_carry_1, 62
team_comp_1_champ_1, MonkeyKing
team_comp_1_champ_2, Tryndamere
team_comp_1_champ_3, Brand
team_comp_1_champ_4, Jhin
team_comp_1_champ_5, Zilean
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 0
champ_experience_winner, 1
wards_placed_winner, 0
gold_spender_winner, 1
final_match_winner, 1
