total_gold_earned_0, 56640
total_gold_spent_0, 51930
total_baron_kills_0, 1
total_dragon_kills_0, 2
total_inhibitor_kils_0, 1
total_kills_0, 34
total_deaths_0, 14
total_damage_dealt_to_champions_0, 66598
total_damage_dealt_to_objectives_0, 69586
total_damage_taken_0, 82199
average_vision_score_0, 20
total_wards_placed_0, 39
average_creep_score_0, 107
average_champion_experience_0, 12439
dmg_carry_0, 360
obj_carry_0, 360
team_comp_0_champ_1, Darius
team_comp_0_champ_2, Warwick
team_comp_0_champ_3, Graves
team_comp_0_champ_4, Samira
team_comp_0_champ_5, Nautilus
total_gold_earned_1, 40242
total_gold_spent_1, 37985
total_baron_kills_1, 0
total_dragon_kills_1, 2
total_inhibitor_kils_1, 0
total_kills_1, 14
total_deaths_1, 34
total_damage_dealt_to_champions_1, 53649
total_damage_dealt_to_objectives_1, 17579
total_damage_taken_1, 86883
average_vision_score_1, 20
total_wards_placed_1, 48
average_creep_score_1, 93
average_champion_experience_1, 9475
dmg_carry_1, 36
obj_carry_1, 36
team_comp_1_champ_1, DrMundo
team_comp_1_champ_2, MasterYi
team_comp_1_champ_3, Lux
team_comp_1_champ_4, Jhin
team_comp_1_champ_5, Senna
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 1
gold_spender_winner, 0
final_match_winner, 0
