total_gold_earned_0, 43980
total_gold_spent_0, 37300
total_baron_kills_0, 0
total_dragon_kills_0, 3
total_inhibitor_kils_0, 1
total_kills_0, 25
total_deaths_0, 8
total_damage_dealt_to_champions_0, 53736
total_damage_dealt_to_objectives_0, 37295
total_damage_taken_0, 63759
average_vision_score_0, 16
total_wards_placed_0, 36
average_creep_score_0, 95
average_champion_experience_0, 9941
dmg_carry_0, 222
obj_carry_0, 222
team_comp_0_champ_1, Yone
team_comp_0_champ_2, Sejuani
team_comp_0_champ_3, Ahri
team_comp_0_champ_4, Jinx
team_comp_0_champ_5, Malphite
total_gold_earned_1, 33709
total_gold_spent_1, 31330
total_baron_kills_1, 0
total_dragon_kills_1, 0
total_inhibitor_kils_1, 0
total_kills_1, 8
total_deaths_1, 25
total_damage_dealt_to_champions_1, 44176
total_damage_dealt_to_objectives_1, 12081
total_damage_taken_1, 66713
average_vision_score_1, 14
total_wards_placed_1, 40
average_creep_score_1, 94
average_champion_experience_1, 8412
dmg_carry_1, 523
obj_carry_1, 523
team_comp_1_champ_1, Orianna
team_comp_1_champ_2, Vi
team_comp_1_champ_3, Cassiopeia
team_comp_1_champ_4, Aphelios
team_comp_1_champ_5, Yuumi
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 1
gold_spender_winner, 0
final_match_winner, 0
