total_gold_earned_0, 57416
total_gold_spent_0, 49520
total_baron_kills_0, 1
total_dragon_kills_0, 2
total_inhibitor_kils_0, 3
total_kills_0, 39
total_deaths_0, 25
total_damage_dealt_to_champions_0, 79650
total_damage_dealt_to_objectives_0, 56543
total_damage_taken_0, 93081
average_vision_score_0, 18
total_wards_placed_0, 41
average_creep_score_0, 103
average_champion_experience_0, 12652
dmg_carry_0, 238
obj_carry_0, 238
team_comp_0_champ_1, Zed
team_comp_0_champ_2, Trundle
team_comp_0_champ_3, Ahri
team_comp_0_champ_4, MissFortune
team_comp_0_champ_5, Bard
total_gold_earned_1, 48362
total_gold_spent_1, 45045
total_baron_kills_1, 0
total_dragon_kills_1, 2
total_inhibitor_kils_1, 0
total_kills_1, 23
total_deaths_1, 39
total_damage_dealt_to_champions_1, 62903
total_damage_dealt_to_objectives_1, 44120
total_damage_taken_1, 99493
average_vision_score_1, 18
total_wards_placed_1, 46
average_creep_score_1, 98
average_champion_experience_1, 10342
dmg_carry_1, 157
obj_carry_1, 157
team_comp_1_champ_1, Quinn
team_comp_1_champ_2, Yasuo
team_comp_1_champ_3, Evelynn
team_comp_1_champ_4, Samira
team_comp_1_champ_5, Thresh
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 1
gold_spender_winner, 0
final_match_winner, 0
