total_gold_earned_0, 36935
total_gold_spent_0, 34635
total_baron_kills_0, 0
total_dragon_kills_0, 1
total_inhibitor_kils_0, 0
total_kills_0, 17
total_deaths_0, 34
total_damage_dealt_to_champions_0, 45873
total_damage_dealt_to_objectives_0, 13886
total_damage_taken_0, 75049
average_vision_score_0, 17
total_wards_placed_0, 47
average_creep_score_0, 76
average_champion_experience_0, 8609
dmg_carry_0, 84
obj_carry_0, 84
team_comp_0_champ_1, Akali
team_comp_0_champ_2, Viego
team_comp_0_champ_3, Diana
team_comp_0_champ_4, Jhin
team_comp_0_champ_5, Brand
total_gold_earned_1, 48981
total_gold_spent_1, 42808
total_baron_kills_1, 0
total_dragon_kills_1, 2
total_inhibitor_kils_1, 1
total_kills_1, 34
total_deaths_1, 17
total_damage_dealt_to_champions_1, 63181
total_damage_dealt_to_objectives_1, 55515
total_damage_taken_1, 67391
average_vision_score_1, 22
total_wards_placed_1, 52
average_creep_score_1, 92
average_champion_experience_1, 10129
dmg_carry_1, 67
obj_carry_1, 67
team_comp_1_champ_1, Darius
team_comp_1_champ_2, Evelynn
team_comp_1_champ_3, Ahri
team_comp_1_champ_4, Vayne
team_comp_1_champ_5, Pyke
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 1
