total_gold_earned_0, 54742
total_gold_spent_0, 47130
total_baron_kills_0, 1
total_dragon_kills_0, 4
total_inhibitor_kils_0, 2
total_kills_0, 32
total_deaths_0, 20
total_damage_dealt_to_champions_0, 88056
total_damage_dealt_to_objectives_0, 76992
total_damage_taken_0, 90658
average_vision_score_0, 23
total_wards_placed_0, 50
average_creep_score_0, 103
average_champion_experience_0, 12749
dmg_carry_0, 67
obj_carry_0, 67
team_comp_0_champ_1, Tristana
team_comp_0_champ_2, Vi
team_comp_0_champ_3, Yasuo
team_comp_0_champ_4, Vayne
team_comp_0_champ_5, Janna
total_gold_earned_1, 43418
total_gold_spent_1, 41063
total_baron_kills_1, 0
total_dragon_kills_1, 0
total_inhibitor_kils_1, 0
total_kills_1, 20
total_deaths_1, 32
total_damage_dealt_to_champions_1, 62517
total_damage_dealt_to_objectives_1, 21185
total_damage_taken_1, 110568
average_vision_score_1, 22
total_wards_placed_1, 52
average_creep_score_1, 104
average_champion_experience_1, 10460
dmg_carry_1, 101
obj_carry_1, 101
team_comp_1_champ_1, Darius
team_comp_1_champ_2, Jax
team_comp_1_champ_3, Renekton
team_comp_1_champ_4, Xerath
team_comp_1_champ_5, Taric
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 1
champ_experience_winner, 0
wards_placed_winner, 1
gold_spender_winner, 0
final_match_winner, 0
