total_gold_earned_0, 63385
total_gold_spent_0, 55290
total_baron_kills_0, 1
total_dragon_kills_0, 3
total_inhibitor_kils_0, 3
total_kills_0, 36
total_deaths_0, 23
total_damage_dealt_to_champions_0, 91122
total_damage_dealt_to_objectives_0, 77942
total_damage_taken_0, 108667
average_vision_score_0, 22
total_wards_placed_0, 41
average_creep_score_0, 128
average_champion_experience_0, 14129
dmg_carry_0, 86
obj_carry_0, 86
team_comp_0_champ_1, Garen
team_comp_0_champ_2, Vi
team_comp_0_champ_3, Vex
team_comp_0_champ_4, Vayne
team_comp_0_champ_5, Riven
total_gold_earned_1, 50229
total_gold_spent_1, 48810
total_baron_kills_1, 0
total_dragon_kills_1, 1
total_inhibitor_kils_1, 0
total_kills_1, 23
total_deaths_1, 37
total_damage_dealt_to_champions_1, 76769
total_damage_dealt_to_objectives_1, 34441
total_damage_taken_1, 115727
average_vision_score_1, 21
total_wards_placed_1, 51
average_creep_score_1, 100
average_champion_experience_1, 12475
dmg_carry_1, 29
obj_carry_1, 29
team_comp_1_champ_1, Poppy
team_comp_1_champ_2, Viego
team_comp_1_champ_3, Ahri
team_comp_1_champ_4, Twitch
team_comp_1_champ_5, Zilean
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 1
gold_spender_winner, 0
final_match_winner, 0
