total_gold_earned_0, 85857
total_gold_spent_0, 80865
total_baron_kills_0, 2
total_dragon_kills_0, 3
total_inhibitor_kils_0, 0
total_kills_0, 57
total_deaths_0, 52
total_damage_dealt_to_champions_0, 163506
total_damage_dealt_to_objectives_0, 102647
total_damage_taken_0, 195819
average_vision_score_0, 51
total_wards_placed_0, 77
average_creep_score_0, 147
average_champion_experience_0, 20973
dmg_carry_0, 82
obj_carry_0, 82
team_comp_0_champ_1, Mordekaiser
team_comp_0_champ_2, Kayn
team_comp_0_champ_3, Malphite
team_comp_0_champ_4, Xerath
team_comp_0_champ_5, Pyke
total_gold_earned_1, 84673
total_gold_spent_1, 80000
total_baron_kills_1, 0
total_dragon_kills_1, 4
total_inhibitor_kils_1, 1
total_kills_1, 52
total_deaths_1, 57
total_damage_dealt_to_champions_1, 152045
total_damage_dealt_to_objectives_1, 64658
total_damage_taken_1, 191654
average_vision_score_1, 33
total_wards_placed_1, 79
average_creep_score_1, 152
average_champion_experience_1, 21093
dmg_carry_1, 203
obj_carry_1, 203
team_comp_1_champ_1, Aatrox
team_comp_1_champ_2, Kindred
team_comp_1_champ_3, Lissandra
team_comp_1_champ_4, Tristana
team_comp_1_champ_5, Zyra
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 0
final_match_winner, 1
