total_gold_earned_0, 64637
total_gold_spent_0, 56275
total_baron_kills_0, 1
total_dragon_kills_0, 4
total_inhibitor_kils_0, 2
total_kills_0, 50
total_deaths_0, 29
total_damage_dealt_to_champions_0, 119102
total_damage_dealt_to_objectives_0, 74884
total_damage_taken_0, 115621
average_vision_score_0, 27
total_wards_placed_0, 64
average_creep_score_0, 104
average_champion_experience_0, 14594
dmg_carry_0, 112
obj_carry_0, 112
team_comp_0_champ_1, Jhin
team_comp_0_champ_2, Warwick
team_comp_0_champ_3, Viktor
team_comp_0_champ_4, Jinx
team_comp_0_champ_5, Thresh
total_gold_earned_1, 53314
total_gold_spent_1, 50583
total_baron_kills_1, 0
total_dragon_kills_1, 1
total_inhibitor_kils_1, 0
total_kills_1, 29
total_deaths_1, 50
total_damage_dealt_to_champions_1, 85142
total_damage_dealt_to_objectives_1, 24802
total_damage_taken_1, 140384
average_vision_score_1, 20
total_wards_placed_1, 54
average_creep_score_1, 98
average_champion_experience_1, 12635
dmg_carry_1, 127
obj_carry_1, 127
team_comp_1_champ_1, Lissandra
team_comp_1_champ_2, Darius
team_comp_1_champ_3, Lux
team_comp_1_champ_4, MissFortune
team_comp_1_champ_5, Bard
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
