total_gold_earned_0, 44752
total_gold_spent_0, 42125
total_baron_kills_0, 0
total_dragon_kills_0, 1
total_inhibitor_kils_0, 0
total_kills_0, 26
total_deaths_0, 36
total_damage_dealt_to_champions_0, 68759
total_damage_dealt_to_objectives_0, 28124
total_damage_taken_0, 101006
average_vision_score_0, 18
total_wards_placed_0, 44
average_creep_score_0, 89
average_champion_experience_0, 9456
dmg_carry_0, 105
obj_carry_0, 105
team_comp_0_champ_1, Jax
team_comp_0_champ_2, Kindred
team_comp_0_champ_3, Fizz
team_comp_0_champ_4, Jhin
team_comp_0_champ_5, Ashe
total_gold_earned_1, 55389
total_gold_spent_1, 48650
total_baron_kills_1, 1
total_dragon_kills_1, 1
total_inhibitor_kils_1, 2
total_kills_1, 36
total_deaths_1, 26
total_damage_dealt_to_champions_1, 84135
total_damage_dealt_to_objectives_1, 62430
total_damage_taken_1, 92453
average_vision_score_1, 25
total_wards_placed_1, 50
average_creep_score_1, 94
average_champion_experience_1, 12260
dmg_carry_1, 51
obj_carry_1, 51
team_comp_1_champ_1, Irelia
team_comp_1_champ_2, Nocturne
team_comp_1_champ_3, Akali
team_comp_1_champ_4, Caitlyn
team_comp_1_champ_5, Xerath
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 1
