total_gold_earned_0, 46963
total_gold_spent_0, 41153
total_baron_kills_0, 0
total_dragon_kills_0, 2
total_inhibitor_kils_0, 1
total_kills_0, 33
total_deaths_0, 13
total_damage_dealt_to_champions_0, 61549
total_damage_dealt_to_objectives_0, 57167
total_damage_taken_0, 73092
average_vision_score_0, 12
total_wards_placed_0, 30
average_creep_score_0, 99
average_champion_experience_0, 10140
dmg_carry_0, 166
obj_carry_0, 166
team_comp_0_champ_1, Yorick
team_comp_0_champ_2, Warwick
team_comp_0_champ_3, Akshan
team_comp_0_champ_4, Veigar
team_comp_0_champ_5, Zac
total_gold_earned_1, 37204
total_gold_spent_1, 32618
total_baron_kills_1, 0
total_dragon_kills_1, 1
total_inhibitor_kils_1, 0
total_kills_1, 13
total_deaths_1, 34
total_damage_dealt_to_champions_1, 46146
total_damage_dealt_to_objectives_1, 10106
total_damage_taken_1, 77338
average_vision_score_1, 11
total_wards_placed_1, 24
average_creep_score_1, 94
average_champion_experience_1, 8772
dmg_carry_1, 161
obj_carry_1, 161
team_comp_1_champ_1, Yone
team_comp_1_champ_2, Trundle
team_comp_1_champ_3, Katarina
team_comp_1_champ_4, Jhin
team_comp_1_champ_5, Velkoz
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
