total_gold_earned_0, 68992
total_gold_spent_0, 64850
total_baron_kills_0, 0
total_dragon_kills_0, 4
total_inhibitor_kils_0, 1
total_kills_0, 45
total_deaths_0, 41
total_damage_dealt_to_champions_0, 136442
total_damage_dealt_to_objectives_0, 42737
total_damage_taken_0, 135359
average_vision_score_0, 43
total_wards_placed_0, 97
average_creep_score_0, 125
average_champion_experience_0, 16829
dmg_carry_0, 103
obj_carry_0, 103
team_comp_0_champ_1, Pantheon
team_comp_0_champ_2, JarvanIV
team_comp_0_champ_3, Ahri
team_comp_0_champ_4, Tristana
team_comp_0_champ_5, Rakan
total_gold_earned_1, 66190
total_gold_spent_1, 64373
total_baron_kills_1, 0
total_dragon_kills_1, 2
total_inhibitor_kils_1, 0
total_kills_1, 41
total_deaths_1, 45
total_damage_dealt_to_champions_1, 113109
total_damage_dealt_to_objectives_1, 48814
total_damage_taken_1, 163252
average_vision_score_1, 26
total_wards_placed_1, 65
average_creep_score_1, 132
average_champion_experience_1, 15562
dmg_carry_1, 5
obj_carry_1, 5
team_comp_1_champ_1, Camille
team_comp_1_champ_2, XinZhao
team_comp_1_champ_3, Fizz
team_comp_1_champ_4, MissFortune
team_comp_1_champ_5, Taliyah
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 1
vision_winner, 0
cs_winner, 1
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
