total_gold_earned_0, 66336
total_gold_spent_0, 58593
total_baron_kills_0, 2
total_dragon_kills_0, 2
total_inhibitor_kils_0, 4
total_kills_0, 30
total_deaths_0, 27
total_damage_dealt_to_champions_0, 93087
total_damage_dealt_to_objectives_0, 64879
total_damage_taken_0, 125270
average_vision_score_0, 33
total_wards_placed_0, 66
average_creep_score_0, 145
average_champion_experience_0, 16123
dmg_carry_0, 238
obj_carry_0, 238
team_comp_0_champ_1, Olaf
team_comp_0_champ_2, Ekko
team_comp_0_champ_3, Zed
team_comp_0_champ_4, Kaisa
team_comp_0_champ_5, Yuumi
total_gold_earned_1, 59117
total_gold_spent_1, 52150
total_baron_kills_1, 0
total_dragon_kills_1, 3
total_inhibitor_kils_1, 0
total_kills_1, 27
total_deaths_1, 30
total_damage_dealt_to_champions_1, 88932
total_damage_dealt_to_objectives_1, 45358
total_damage_taken_1, 117464
average_vision_score_1, 26
total_wards_placed_1, 62
average_creep_score_1, 142
average_champion_experience_1, 15568
dmg_carry_1, 17
obj_carry_1, 17
team_comp_1_champ_1, Mordekaiser
team_comp_1_champ_2, Vi
team_comp_1_champ_3, Yone
team_comp_1_champ_4, Zeri
team_comp_1_champ_5, Teemo
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
