total_gold_earned_0, 35297
total_gold_spent_0, 33013
total_baron_kills_0, 0
total_dragon_kills_0, 1
total_inhibitor_kils_0, 0
total_kills_0, 19
total_deaths_0, 38
total_damage_dealt_to_champions_0, 43787
total_damage_dealt_to_objectives_0, 8400
total_damage_taken_0, 76942
average_vision_score_0, 12
total_wards_placed_0, 33
average_creep_score_0, 60
average_champion_experience_0, 7807
dmg_carry_0, 76
obj_carry_0, 76
team_comp_0_champ_1, Zeri
team_comp_0_champ_2, Nidalee
team_comp_0_champ_3, Fizz
team_comp_0_champ_4, Aphelios
team_comp_0_champ_5, Maokai
total_gold_earned_1, 48939
total_gold_spent_1, 42310
total_baron_kills_1, 0
total_dragon_kills_1, 2
total_inhibitor_kils_1, 1
total_kills_1, 38
total_deaths_1, 19
total_damage_dealt_to_champions_1, 62596
total_damage_dealt_to_objectives_1, 51429
total_damage_taken_1, 65175
average_vision_score_1, 20
total_wards_placed_1, 46
average_creep_score_1, 95
average_champion_experience_1, 9784
dmg_carry_1, 777
obj_carry_1, 777
team_comp_1_champ_1, Viego
team_comp_1_champ_2, Morgana
team_comp_1_champ_3, Yone
team_comp_1_champ_4, Kaisa
team_comp_1_champ_5, Galio
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 1
