total_gold_earned_0, 80919
total_gold_spent_0, 73175
total_baron_kills_0, 0
total_dragon_kills_0, 4
total_inhibitor_kils_0, 2
total_kills_0, 47
total_deaths_0, 47
total_damage_dealt_to_champions_0, 140378
total_damage_dealt_to_objectives_0, 75396
total_damage_taken_0, 215621
average_vision_score_0, 34
total_wards_placed_0, 68
average_creep_score_0, 156
average_champion_experience_0, 19130
dmg_carry_0, 119
obj_carry_0, 119
team_comp_0_champ_1, Sion
team_comp_0_champ_2, Vi
team_comp_0_champ_3, Akali
team_comp_0_champ_4, Draven
team_comp_0_champ_5, Sett
total_gold_earned_1, 80632
total_gold_spent_1, 77475
total_baron_kills_1, 2
total_dragon_kills_1, 1
total_inhibitor_kils_1, 1
total_kills_1, 47
total_deaths_1, 47
total_damage_dealt_to_champions_1, 174131
total_damage_dealt_to_objectives_1, 63924
total_damage_taken_1, 179946
average_vision_score_1, 26
total_wards_placed_1, 55
average_creep_score_1, 143
average_champion_experience_1, 20006
dmg_carry_1, 28
obj_carry_1, 28
team_comp_1_champ_1, Riven
team_comp_1_champ_2, Evelynn
team_comp_1_champ_3, Pantheon
team_comp_1_champ_4, Aphelios
team_comp_1_champ_5, Shen
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 1
wards_placed_winner, 0
gold_spender_winner, 1
final_match_winner, 0
