total_gold_earned_0, 66297
total_gold_spent_0, 57625
total_baron_kills_0, 2
total_dragon_kills_0, 3
total_inhibitor_kils_0, 3
total_kills_0, 38
total_deaths_0, 17
total_damage_dealt_to_champions_0, 101879
total_damage_dealt_to_objectives_0, 95914
total_damage_taken_0, 114503
average_vision_score_0, 32
total_wards_placed_0, 70
average_creep_score_0, 116
average_champion_experience_0, 16056
dmg_carry_0, 876
obj_carry_0, 876
team_comp_0_champ_1, Lillia
team_comp_0_champ_2, Ekko
team_comp_0_champ_3, Yasuo
team_comp_0_champ_4, Jinx
team_comp_0_champ_5, Lulu
total_gold_earned_1, 55495
total_gold_spent_1, 61470
total_baron_kills_1, 0
total_dragon_kills_1, 1
total_inhibitor_kils_1, 0
total_kills_1, 17
total_deaths_1, 38
total_damage_dealt_to_champions_1, 81614
total_damage_dealt_to_objectives_1, 30277
total_damage_taken_1, 129383
average_vision_score_1, 28
total_wards_placed_1, 47
average_creep_score_1, 134
average_champion_experience_1, 13383
dmg_carry_1, 711
obj_carry_1, 711
team_comp_1_champ_1, Gangplank
team_comp_1_champ_2, Kayn
team_comp_1_champ_3, Lucian
team_comp_1_champ_4, Vex
team_comp_1_champ_5, Ashe
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 1
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 1
final_match_winner, 0
