total_gold_earned_0, 63915
total_gold_spent_0, 58208
total_baron_kills_0, 1
total_dragon_kills_0, 2
total_inhibitor_kils_0, 1
total_kills_0, 28
total_deaths_0, 32
total_damage_dealt_to_champions_0, 92401
total_damage_dealt_to_objectives_0, 53065
total_damage_taken_0, 129411
average_vision_score_0, 23
total_wards_placed_0, 57
average_creep_score_0, 145
average_champion_experience_0, 15671
dmg_carry_0, 81
obj_carry_0, 81
team_comp_0_champ_1, Yorick
team_comp_0_champ_2, Kayn
team_comp_0_champ_3, Nunu
team_comp_0_champ_4, Ezreal
team_comp_0_champ_5, Lux
total_gold_earned_1, 63881
total_gold_spent_1, 60913
total_baron_kills_1, 1
total_dragon_kills_1, 3
total_inhibitor_kils_1, 3
total_kills_1, 32
total_deaths_1, 28
total_damage_dealt_to_champions_1, 97622
total_damage_dealt_to_objectives_1, 95267
total_damage_taken_1, 120199
average_vision_score_1, 27
total_wards_placed_1, 49
average_creep_score_1, 128
average_champion_experience_1, 14947
dmg_carry_1, 122
obj_carry_1, 122
team_comp_1_champ_1, Darius
team_comp_1_champ_2, Ekko
team_comp_1_champ_3, Diana
team_comp_1_champ_4, Jinx
team_comp_1_champ_5, Senna
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 1
final_match_winner, 0
