total_gold_earned_0, 68561
total_gold_spent_0, 61348
total_baron_kills_0, 0
total_dragon_kills_0, 3
total_inhibitor_kils_0, 1
total_kills_0, 38
total_deaths_0, 30
total_damage_dealt_to_champions_0, 111049
total_damage_dealt_to_objectives_0, 37643
total_damage_taken_0, 107007
average_vision_score_0, 29
total_wards_placed_0, 81
average_creep_score_0, 160
average_champion_experience_0, 17499
dmg_carry_0, 45
obj_carry_0, 45
team_comp_0_champ_1, Darius
team_comp_0_champ_2, Kindred
team_comp_0_champ_3, Veigar
team_comp_0_champ_4, Lucian
team_comp_0_champ_5, Lux
total_gold_earned_1, 70413
total_gold_spent_1, 64175
total_baron_kills_1, 2
total_dragon_kills_1, 2
total_inhibitor_kils_1, 3
total_kills_1, 30
total_deaths_1, 38
total_damage_dealt_to_champions_1, 79358
total_damage_dealt_to_objectives_1, 105422
total_damage_taken_1, 141916
average_vision_score_1, 34
total_wards_placed_1, 53
average_creep_score_1, 156
average_champion_experience_1, 17133
dmg_carry_1, 777
obj_carry_1, 777
team_comp_1_champ_1, Renekton
team_comp_1_champ_2, Volibear
team_comp_1_champ_3, Yone
team_comp_1_champ_4, Caitlyn
team_comp_1_champ_5, Morgana
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 1
final_match_winner, 0
