total_gold_earned_0, 78629
total_gold_spent_0, 71235
total_baron_kills_0, 2
total_dragon_kills_0, 4
total_inhibitor_kils_0, 3
total_kills_0, 45
total_deaths_0, 52
total_damage_dealt_to_champions_0, 165238
total_damage_dealt_to_objectives_0, 101414
total_damage_taken_0, 173516
average_vision_score_0, 29
total_wards_placed_0, 66
average_creep_score_0, 131
average_champion_experience_0, 18858
dmg_carry_0, 17
obj_carry_0, 17
team_comp_0_champ_1, Teemo
team_comp_0_champ_2, Graves
team_comp_0_champ_3, Akshan
team_comp_0_champ_4, Kaisa
team_comp_0_champ_5, Sion
total_gold_earned_1, 77036
total_gold_spent_1, 74445
total_baron_kills_1, 0
total_dragon_kills_1, 2
total_inhibitor_kils_1, 1
total_kills_1, 51
total_deaths_1, 45
total_damage_dealt_to_champions_1, 141864
total_damage_dealt_to_objectives_1, 48595
total_damage_taken_1, 205472
average_vision_score_1, 24
total_wards_placed_1, 49
average_creep_score_1, 140
average_champion_experience_1, 17152
dmg_carry_1, 420
obj_carry_1, 420
team_comp_1_champ_1, Viktor
team_comp_1_champ_2, Pantheon
team_comp_1_champ_3, Illaoi
team_comp_1_champ_4, Darius
team_comp_1_champ_5, Zac
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 1
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 1
final_match_winner, 0
