total_gold_earned_0, 48430
total_gold_spent_0, 45625
total_baron_kills_0, 0
total_dragon_kills_0, 1
total_inhibitor_kils_0, 0
total_kills_0, 26
total_deaths_0, 33
total_damage_dealt_to_champions_0, 65616
total_damage_dealt_to_objectives_0, 47523
total_damage_taken_0, 105038
average_vision_score_0, 20
total_wards_placed_0, 53
average_creep_score_0, 105
average_champion_experience_0, 11950
dmg_carry_0, 21
obj_carry_0, 21
team_comp_0_champ_1, Aatrox
team_comp_0_champ_2, Hecarim
team_comp_0_champ_3, Yone
team_comp_0_champ_4, MissFortune
team_comp_0_champ_5, Rakan
total_gold_earned_1, 61078
total_gold_spent_1, 52260
total_baron_kills_1, 1
total_dragon_kills_1, 3
total_inhibitor_kils_1, 1
total_kills_1, 33
total_deaths_1, 26
total_damage_dealt_to_champions_1, 80956
total_damage_dealt_to_objectives_1, 62003
total_damage_taken_1, 93008
average_vision_score_1, 25
total_wards_placed_1, 67
average_creep_score_1, 121
average_champion_experience_1, 14255
dmg_carry_1, 119
obj_carry_1, 119
team_comp_1_champ_1, Darius
team_comp_1_champ_2, Graves
team_comp_1_champ_3, Pantheon
team_comp_1_champ_4, Draven
team_comp_1_champ_5, Nautilus
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 1
