total_gold_earned_0, 68375
total_gold_spent_0, 63243
total_baron_kills_0, 0
total_dragon_kills_0, 2
total_inhibitor_kils_0, 2
total_kills_0, 29
total_deaths_0, 50
total_damage_dealt_to_champions_0, 123898
total_damage_dealt_to_objectives_0, 56315
total_damage_taken_0, 186354
average_vision_score_0, 31
total_wards_placed_0, 57
average_creep_score_0, 134
average_champion_experience_0, 16386
dmg_carry_0, 18
obj_carry_0, 18
team_comp_0_champ_1, Volibear
team_comp_0_champ_2, Viego
team_comp_0_champ_3, Tristana
team_comp_0_champ_4, MissFortune
team_comp_0_champ_5, Nami
total_gold_earned_1, 75277
total_gold_spent_1, 65075
total_baron_kills_1, 2
total_dragon_kills_1, 3
total_inhibitor_kils_1, 3
total_kills_1, 50
total_deaths_1, 29
total_damage_dealt_to_champions_1, 148253
total_damage_dealt_to_objectives_1, 99327
total_damage_taken_1, 176301
average_vision_score_1, 28
total_wards_placed_1, 65
average_creep_score_1, 138
average_champion_experience_1, 19594
dmg_carry_1, 200
obj_carry_1, 200
team_comp_1_champ_1, Renekton
team_comp_1_champ_2, Belveth
team_comp_1_champ_3, Ahri
team_comp_1_champ_4, Aphelios
team_comp_1_champ_5, Pantheon
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 0
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 1
