total_gold_earned_0, 57443
total_gold_spent_0, 52410
total_baron_kills_0, 0
total_dragon_kills_0, 0
total_inhibitor_kils_0, 1
total_kills_0, 36
total_deaths_0, 47
total_damage_dealt_to_champions_0, 101424
total_damage_dealt_to_objectives_0, 47111
total_damage_taken_0, 134913
average_vision_score_0, 19
total_wards_placed_0, 47
average_creep_score_0, 96
average_champion_experience_0, 13070
dmg_carry_0, 164
obj_carry_0, 164
team_comp_0_champ_1, Camille
team_comp_0_champ_2, MasterYi
team_comp_0_champ_3, TwistedFate
team_comp_0_champ_4, Tristana
team_comp_0_champ_5, Lux
total_gold_earned_1, 62961
total_gold_spent_1, 58175
total_baron_kills_1, 1
total_dragon_kills_1, 4
total_inhibitor_kils_1, 1
total_kills_1, 46
total_deaths_1, 37
total_damage_dealt_to_champions_1, 106649
total_damage_dealt_to_objectives_1, 79140
total_damage_taken_1, 138477
average_vision_score_1, 20
total_wards_placed_1, 32
average_creep_score_1, 107
average_champion_experience_1, 13754
dmg_carry_1, 143
obj_carry_1, 143
team_comp_1_champ_1, Quinn
team_comp_1_champ_2, Warwick
team_comp_1_champ_3, Garen
team_comp_1_champ_4, Kaisa
team_comp_1_champ_5, Zyra
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 0
gold_spender_winner, 1
final_match_winner, 1
