total_gold_earned_0, 62200
total_gold_spent_0, 57055
total_baron_kills_0, 1
total_dragon_kills_0, 1
total_inhibitor_kils_0, 3
total_kills_0, 34
total_deaths_0, 21
total_damage_dealt_to_champions_0, 91813
total_damage_dealt_to_objectives_0, 62026
total_damage_taken_0, 133673
average_vision_score_0, 26
total_wards_placed_0, 51
average_creep_score_0, 109
average_champion_experience_0, 14290
dmg_carry_0, 119
obj_carry_0, 119
team_comp_0_champ_1, Nasus
team_comp_0_champ_2, Rammus
team_comp_0_champ_3, Neeko
team_comp_0_champ_4, Draven
team_comp_0_champ_5, Nami
total_gold_earned_1, 51533
total_gold_spent_1, 47675
total_baron_kills_1, 0
total_dragon_kills_1, 3
total_inhibitor_kils_1, 0
total_kills_1, 21
total_deaths_1, 34
total_damage_dealt_to_champions_1, 102730
total_damage_dealt_to_objectives_1, 41988
total_damage_taken_1, 120426
average_vision_score_1, 19
total_wards_placed_1, 44
average_creep_score_1, 119
average_champion_experience_1, 12704
dmg_carry_1, 30
obj_carry_1, 30
team_comp_1_champ_1, Kayle
team_comp_1_champ_2, Karthus
team_comp_1_champ_3, Rumble
team_comp_1_champ_4, Lucian
team_comp_1_champ_5, Galio
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 1
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
