total_gold_earned_0, 85033
total_gold_spent_0, 83245
total_baron_kills_0, 1
total_dragon_kills_0, 2
total_inhibitor_kils_0, 0
total_kills_0, 50
total_deaths_0, 63
total_damage_dealt_to_champions_0, 177922
total_damage_dealt_to_objectives_0, 61587
total_damage_taken_0, 242432
average_vision_score_0, 43
total_wards_placed_0, 97
average_creep_score_0, 165
average_champion_experience_0, 21699
dmg_carry_0, 236
obj_carry_0, 236
team_comp_0_champ_1, Kennen
team_comp_0_champ_2, Shen
team_comp_0_champ_3, Yasuo
team_comp_0_champ_4, Lucian
team_comp_0_champ_5, Nami
total_gold_earned_1, 93128
total_gold_spent_1, 82625
total_baron_kills_1, 2
total_dragon_kills_1, 5
total_inhibitor_kils_1, 4
total_kills_1, 63
total_deaths_1, 51
total_damage_dealt_to_champions_1, 209460
total_damage_dealt_to_objectives_1, 120843
total_damage_taken_1, 222977
average_vision_score_1, 43
total_wards_placed_1, 85
average_creep_score_1, 161
average_champion_experience_1, 23863
dmg_carry_1, 103
obj_carry_1, 103
team_comp_1_champ_1, Pantheon
team_comp_1_champ_2, Warwick
team_comp_1_champ_3, Ahri
team_comp_1_champ_4, Samira
team_comp_1_champ_5, Zyra
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 0
cs_winner, 0
champ_experience_winner, 1
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 1
