total_gold_earned_0, 43210
total_gold_spent_0, 40255
total_baron_kills_0, 1
total_dragon_kills_0, 1
total_inhibitor_kils_0, 0
total_kills_0, 19
total_deaths_0, 35
total_damage_dealt_to_champions_0, 66774
total_damage_dealt_to_objectives_0, 43667
total_damage_taken_0, 98892
average_vision_score_0, 19
total_wards_placed_0, 44
average_creep_score_0, 85
average_champion_experience_0, 9788
dmg_carry_0, 45
obj_carry_0, 45
team_comp_0_champ_1, Mordekaiser
team_comp_0_champ_2, Kindred
team_comp_0_champ_3, Veigar
team_comp_0_champ_4, Ashe
team_comp_0_champ_5, Seraphine
total_gold_earned_1, 49985
total_gold_spent_1, 43525
total_baron_kills_1, 0
total_dragon_kills_1, 3
total_inhibitor_kils_1, 1
total_kills_1, 35
total_deaths_1, 19
total_damage_dealt_to_champions_1, 82100
total_damage_dealt_to_objectives_1, 46880
total_damage_taken_1, 90931
average_vision_score_1, 23
total_wards_placed_1, 47
average_creep_score_1, 88
average_champion_experience_1, 11333
dmg_carry_1, 11
obj_carry_1, 11
team_comp_1_champ_1, Shen
team_comp_1_champ_2, MasterYi
team_comp_1_champ_3, Syndra
team_comp_1_champ_4, MissFortune
team_comp_1_champ_5, Bard
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 1
