total_gold_earned_0, 78839
total_gold_spent_0, 71565
total_baron_kills_0, 1
total_dragon_kills_0, 3
total_inhibitor_kils_0, 4
total_kills_0, 51
total_deaths_0, 45
total_damage_dealt_to_champions_0, 144779
total_damage_dealt_to_objectives_0, 82668
total_damage_taken_0, 158344
average_vision_score_0, 36
total_wards_placed_0, 88
average_creep_score_0, 138
average_champion_experience_0, 18585
dmg_carry_0, 21
obj_carry_0, 21
team_comp_0_champ_1, Vladimir
team_comp_0_champ_2, JarvanIV
team_comp_0_champ_3, Yasuo
team_comp_0_champ_4, MissFortune
team_comp_0_champ_5, Malphite
total_gold_earned_1, 73162
total_gold_spent_1, 69175
total_baron_kills_1, 2
total_dragon_kills_1, 2
total_inhibitor_kils_1, 0
total_kills_1, 45
total_deaths_1, 51
total_damage_dealt_to_champions_1, 124674
total_damage_dealt_to_objectives_1, 65723
total_damage_taken_1, 168227
average_vision_score_1, 24
total_wards_placed_1, 62
average_creep_score_1, 133
average_champion_experience_1, 17264
dmg_carry_1, 90
obj_carry_1, 90
team_comp_1_champ_1, Lillia
team_comp_1_champ_2, Belveth
team_comp_1_champ_3, Malzahar
team_comp_1_champ_4, Draven
team_comp_1_champ_5, Blitzcrank
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
