total_gold_earned_0, 40934
total_gold_spent_0, 36825
total_baron_kills_0, 0
total_dragon_kills_0, 0
total_inhibitor_kils_0, 0
total_kills_0, 22
total_deaths_0, 34
total_damage_dealt_to_champions_0, 56894
total_damage_dealt_to_objectives_0, 18796
total_damage_taken_0, 111412
average_vision_score_0, 15
total_wards_placed_0, 31
average_creep_score_0, 91
average_champion_experience_0, 9569
dmg_carry_0, 102
obj_carry_0, 102
team_comp_0_champ_1, Mordekaiser
team_comp_0_champ_2, Shyvana
team_comp_0_champ_3, Zoe
team_comp_0_champ_4, Tristana
team_comp_0_champ_5, Leona
total_gold_earned_1, 53171
total_gold_spent_1, 48888
total_baron_kills_1, 0
total_dragon_kills_1, 3
total_inhibitor_kils_1, 3
total_kills_1, 34
total_deaths_1, 22
total_damage_dealt_to_champions_1, 89558
total_damage_dealt_to_objectives_1, 59455
total_damage_taken_1, 76183
average_vision_score_1, 19
total_wards_placed_1, 39
average_creep_score_1, 92
average_champion_experience_1, 11079
dmg_carry_1, 104
obj_carry_1, 104
team_comp_1_champ_1, Olaf
team_comp_1_champ_2, Graves
team_comp_1_champ_3, Annie
team_comp_1_champ_4, Caitlyn
team_comp_1_champ_5, MissFortune
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 1
