total_gold_earned_0, 66869
total_gold_spent_0, 65460
total_baron_kills_0, 0
total_dragon_kills_0, 2
total_inhibitor_kils_0, 0
total_kills_0, 34
total_deaths_0, 47
total_damage_dealt_to_champions_0, 110070
total_damage_dealt_to_objectives_0, 28740
total_damage_taken_0, 136983
average_vision_score_0, 27
total_wards_placed_0, 60
average_creep_score_0, 136
average_champion_experience_0, 15687
dmg_carry_0, 777
obj_carry_0, 777
team_comp_0_champ_1, Sett
team_comp_0_champ_2, Shaco
team_comp_0_champ_3, Yone
team_comp_0_champ_4, Jhin
team_comp_0_champ_5, Lux
total_gold_earned_1, 77187
total_gold_spent_1, 71490
total_baron_kills_1, 2
total_dragon_kills_1, 2
total_inhibitor_kils_1, 3
total_kills_1, 47
total_deaths_1, 34
total_damage_dealt_to_champions_1, 116067
total_damage_dealt_to_objectives_1, 109871
total_damage_taken_1, 147279
average_vision_score_1, 26
total_wards_placed_1, 53
average_creep_score_1, 133
average_champion_experience_1, 18156
dmg_carry_1, 67
obj_carry_1, 67
team_comp_1_champ_1, Tryndamere
team_comp_1_champ_2, Zed
team_comp_1_champ_3, Yasuo
team_comp_1_champ_4, Vayne
team_comp_1_champ_5, Thresh
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 0
cs_winner, 0
champ_experience_winner, 1
wards_placed_winner, 0
gold_spender_winner, 1
final_match_winner, 1
