total_gold_earned_0, 13864
total_gold_spent_0, 10510
total_baron_kills_0, 0
total_dragon_kills_0, 0
total_inhibitor_kils_0, 0
total_kills_0, 4
total_deaths_0, 13
total_damage_dealt_to_champions_0, 14437
total_damage_dealt_to_objectives_0, 2001
total_damage_taken_0, 23628
average_vision_score_0, 3
total_wards_placed_0, 10
average_creep_score_0, 24
average_champion_experience_0, 2715
dmg_carry_0, 63
obj_carry_0, 63
team_comp_0_champ_1, Garen
team_comp_0_champ_2, Warwick
team_comp_0_champ_3, Shen
team_comp_0_champ_4, Twitch
team_comp_0_champ_5, Brand
total_gold_earned_1, 23670
total_gold_spent_1, 19918
total_baron_kills_1, 0
total_dragon_kills_1, 0
total_inhibitor_kils_1, 0
total_kills_1, 13
total_deaths_1, 4
total_damage_dealt_to_champions_1, 18497
total_damage_dealt_to_objectives_1, 20840
total_damage_taken_1, 26464
average_vision_score_1, 4
total_wards_placed_1, 14
average_creep_score_1, 46
average_champion_experience_1, 4471
dmg_carry_1, 50
obj_carry_1, 50
team_comp_1_champ_1, Camille
team_comp_1_champ_2, Kayn
team_comp_1_champ_3, Gangplank
team_comp_1_champ_4, Kaisa
team_comp_1_champ_5, Swain
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 1
