total_gold_earned_0, 38003
total_gold_spent_0, 36460
total_baron_kills_0, 0
total_dragon_kills_0, 0
total_inhibitor_kils_0, 0
total_kills_0, 16
total_deaths_0, 45
total_damage_dealt_to_champions_0, 65890
total_damage_dealt_to_objectives_0, 14293
total_damage_taken_0, 107201
average_vision_score_0, 15
total_wards_placed_0, 29
average_creep_score_0, 75
average_champion_experience_0, 9526
dmg_carry_0, 19
obj_carry_0, 19
team_comp_0_champ_1, Teemo
team_comp_0_champ_2, Warwick
team_comp_0_champ_3, Brand
team_comp_0_champ_4, Ashe
team_comp_0_champ_5, Janna
total_gold_earned_1, 56121
total_gold_spent_1, 50810
total_baron_kills_1, 1
total_dragon_kills_1, 4
total_inhibitor_kils_1, 1
total_kills_1, 45
total_deaths_1, 16
total_damage_dealt_to_champions_1, 90313
total_damage_dealt_to_objectives_1, 85795
total_damage_taken_1, 105774
average_vision_score_1, 21
total_wards_placed_1, 39
average_creep_score_1, 83
average_champion_experience_1, 12787
dmg_carry_1, 80
obj_carry_1, 80
team_comp_1_champ_1, TahmKench
team_comp_1_champ_2, Pantheon
team_comp_1_champ_3, Kennen
team_comp_1_champ_4, Tristana
team_comp_1_champ_5, Swain
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 1
