total_gold_earned_0, 67997
total_gold_spent_0, 59760
total_baron_kills_0, 1
total_dragon_kills_0, 1
total_inhibitor_kils_0, 4
total_kills_0, 47
total_deaths_0, 38
total_damage_dealt_to_champions_0, 98994
total_damage_dealt_to_objectives_0, 54099
total_damage_taken_0, 124459
average_vision_score_0, 21
total_wards_placed_0, 55
average_creep_score_0, 119
average_champion_experience_0, 14877
dmg_carry_0, 166
obj_carry_0, 166
team_comp_0_champ_1, Lucian
team_comp_0_champ_2, Singed
team_comp_0_champ_3, Heimerdinger
team_comp_0_champ_4, Akshan
team_comp_0_champ_5, Karma
total_gold_earned_1, 60261
total_gold_spent_1, 58480
total_baron_kills_1, 1
total_dragon_kills_1, 4
total_inhibitor_kils_1, 0
total_kills_1, 38
total_deaths_1, 47
total_damage_dealt_to_champions_1, 93982
total_damage_dealt_to_objectives_1, 64251
total_damage_taken_1, 125784
average_vision_score_1, 28
total_wards_placed_1, 58
average_creep_score_1, 120
average_champion_experience_1, 14510
dmg_carry_1, 11
obj_carry_1, 11
team_comp_1_champ_1, Teemo
team_comp_1_champ_2, MasterYi
team_comp_1_champ_3, Veigar
team_comp_1_champ_4, Samira
team_comp_1_champ_5, Amumu
gameLengthMin, 30
dmg_to_champs_winner, 0
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 1
champ_experience_winner, 0
wards_placed_winner, 1
gold_spender_winner, 0
final_match_winner, 0
