total_gold_earned_0, 40829
total_gold_spent_0, 39225
total_baron_kills_0, 0
total_dragon_kills_0, 1
total_inhibitor_kils_0, 0
total_kills_0, 10
total_deaths_0, 42
total_damage_dealt_to_champions_0, 73751
total_damage_dealt_to_objectives_0, 17605
total_damage_taken_0, 110667
average_vision_score_0, 25
total_wards_placed_0, 50
average_creep_score_0, 95
average_champion_experience_0, 9283
dmg_carry_0, 221
obj_carry_0, 221
team_comp_0_champ_1, Garen
team_comp_0_champ_2, FiddleSticks
team_comp_0_champ_3, Yasuo
team_comp_0_champ_4, Zeri
team_comp_0_champ_5, Morgana
total_gold_earned_1, 58797
total_gold_spent_1, 50775
total_baron_kills_1, 0
total_dragon_kills_1, 3
total_inhibitor_kils_1, 2
total_kills_1, 42
total_deaths_1, 10
total_damage_dealt_to_champions_1, 91740
total_damage_dealt_to_objectives_1, 66204
total_damage_taken_1, 102139
average_vision_score_1, 30
total_wards_placed_1, 64
average_creep_score_1, 113
average_champion_experience_1, 13009
dmg_carry_1, 82
obj_carry_1, 82
team_comp_1_champ_1, Mordekaiser
team_comp_1_champ_2, Kayn
team_comp_1_champ_3, Zilean
team_comp_1_champ_4, Ashe
team_comp_1_champ_5, Pyke
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 1
