total_gold_earned_0, 79022
total_gold_spent_0, 77450
total_baron_kills_0, 0
total_dragon_kills_0, 4
total_inhibitor_kils_0, 2
total_kills_0, 48
total_deaths_0, 48
total_damage_dealt_to_champions_0, 178606
total_damage_dealt_to_objectives_0, 87415
total_damage_taken_0, 216003
average_vision_score_0, 31
total_wards_placed_0, 61
average_creep_score_0, 162
average_champion_experience_0, 19363
dmg_carry_0, 711
obj_carry_0, 711
team_comp_0_champ_1, DrMundo
team_comp_0_champ_2, Kayn
team_comp_0_champ_3, Vex
team_comp_0_champ_4, Vayne
team_comp_0_champ_5, Taric
total_gold_earned_1, 82515
total_gold_spent_1, 77313
total_baron_kills_1, 1
total_dragon_kills_1, 3
total_inhibitor_kils_1, 2
total_kills_1, 48
total_deaths_1, 48
total_damage_dealt_to_champions_1, 180937
total_damage_dealt_to_objectives_1, 92637
total_damage_taken_1, 217591
average_vision_score_1, 35
total_wards_placed_1, 69
average_creep_score_1, 154
average_champion_experience_1, 20542
dmg_carry_1, 202
obj_carry_1, 202
team_comp_1_champ_1, Anivia
team_comp_1_champ_2, Trundle
team_comp_1_champ_3, Tristana
team_comp_1_champ_4, Jhin
team_comp_1_champ_5, Olaf
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 0
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 0
final_match_winner, 1
