total_gold_earned_0, 60422
total_gold_spent_0, 55775
total_baron_kills_0, 0
total_dragon_kills_0, 2
total_inhibitor_kils_0, 0
total_kills_0, 43
total_deaths_0, 29
total_damage_dealt_to_champions_0, 123181
total_damage_dealt_to_objectives_0, 42217
total_damage_taken_0, 119121
average_vision_score_0, 28
total_wards_placed_0, 61
average_creep_score_0, 93
average_champion_experience_0, 12731
dmg_carry_0, 82
obj_carry_0, 82
team_comp_0_champ_1, Mordekaiser
team_comp_0_champ_2, Khazix
team_comp_0_champ_3, Darius
team_comp_0_champ_4, Lucian
team_comp_0_champ_5, Lux
total_gold_earned_1, 52174
total_gold_spent_1, 49475
total_baron_kills_1, 0
total_dragon_kills_1, 3
total_inhibitor_kils_1, 0
total_kills_1, 29
total_deaths_1, 43
total_damage_dealt_to_champions_1, 94268
total_damage_dealt_to_objectives_1, 43616
total_damage_taken_1, 142067
average_vision_score_1, 26
total_wards_placed_1, 55
average_creep_score_1, 91
average_champion_experience_1, 11350
dmg_carry_1, 101
obj_carry_1, 101
team_comp_1_champ_1, Aatrox
team_comp_1_champ_2, Zilean
team_comp_1_champ_3, Xerath
team_comp_1_champ_4, Twitch
team_comp_1_champ_5, Amumu
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 1
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
