total_gold_earned_0, 78135
total_gold_spent_0, 72410
total_baron_kills_0, 0
total_dragon_kills_0, 3
total_inhibitor_kils_0, 1
total_kills_0, 43
total_deaths_0, 37
total_damage_dealt_to_champions_0, 117285
total_damage_dealt_to_objectives_0, 70333
total_damage_taken_0, 171298
average_vision_score_0, 60
total_wards_placed_0, 122
average_creep_score_0, 168
average_champion_experience_0, 19319
dmg_carry_0, 236
obj_carry_0, 236
team_comp_0_champ_1, Irelia
team_comp_0_champ_2, MonkeyKing
team_comp_0_champ_3, Malzahar
team_comp_0_champ_4, Lucian
team_comp_0_champ_5, Alistar
total_gold_earned_1, 77963
total_gold_spent_1, 73370
total_baron_kills_1, 1
total_dragon_kills_1, 3
total_inhibitor_kils_1, 0
total_kills_1, 37
total_deaths_1, 43
total_damage_dealt_to_champions_1, 126039
total_damage_dealt_to_objectives_1, 58752
total_damage_taken_1, 143071
average_vision_score_1, 42
total_wards_placed_1, 85
average_creep_score_1, 153
average_champion_experience_1, 19473
dmg_carry_1, 121
obj_carry_1, 121
team_comp_1_champ_1, Khazix
team_comp_1_champ_2, RekSai
team_comp_1_champ_3, Lux
team_comp_1_champ_4, Yasuo
team_comp_1_champ_5, Brand
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 1
wards_placed_winner, 0
gold_spender_winner, 1
final_match_winner, 0
