total_gold_earned_0, 48663
total_gold_spent_0, 45325
total_baron_kills_0, 0
total_dragon_kills_0, 0
total_inhibitor_kils_0, 0
total_kills_0, 10
total_deaths_0, 32
total_damage_dealt_to_champions_0, 64343
total_damage_dealt_to_objectives_0, 19236
total_damage_taken_0, 96046
average_vision_score_0, 19
total_wards_placed_0, 52
average_creep_score_0, 134
average_champion_experience_0, 11920
dmg_carry_0, 711
obj_carry_0, 711
team_comp_0_champ_1, Sion
team_comp_0_champ_2, DrMundo
team_comp_0_champ_3, Vex
team_comp_0_champ_4, Twitch
team_comp_0_champ_5, Lux
total_gold_earned_1, 58968
total_gold_spent_1, 54250
total_baron_kills_1, 1
total_dragon_kills_1, 4
total_inhibitor_kils_1, 3
total_kills_1, 32
total_deaths_1, 10
total_damage_dealt_to_champions_1, 79943
total_damage_dealt_to_objectives_1, 100583
total_damage_taken_1, 105942
average_vision_score_1, 30
total_wards_placed_1, 60
average_creep_score_1, 133
average_champion_experience_1, 14348
dmg_carry_1, 22
obj_carry_1, 22
team_comp_1_champ_1, Garen
team_comp_1_champ_2, LeeSin
team_comp_1_champ_3, Ahri
team_comp_1_champ_4, Ashe
team_comp_1_champ_5, TahmKench
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 0
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 1
