total_gold_earned_0, 43192
total_gold_spent_0, 41275
total_baron_kills_0, 0
total_dragon_kills_0, 3
total_inhibitor_kils_0, 0
total_kills_0, 18
total_deaths_0, 31
total_damage_dealt_to_champions_0, 57010
total_damage_dealt_to_objectives_0, 41838
total_damage_taken_0, 96291
average_vision_score_0, 23
total_wards_placed_0, 57
average_creep_score_0, 95
average_champion_experience_0, 10160
dmg_carry_0, 61
obj_carry_0, 61
team_comp_0_champ_1, Malphite
team_comp_0_champ_2, Rengar
team_comp_0_champ_3, Orianna
team_comp_0_champ_4, Xayah
team_comp_0_champ_5, Renata
total_gold_earned_1, 54722
total_gold_spent_1, 49578
total_baron_kills_1, 0
total_dragon_kills_1, 1
total_inhibitor_kils_1, 1
total_kills_1, 31
total_deaths_1, 18
total_damage_dealt_to_champions_1, 76717
total_damage_dealt_to_objectives_1, 40326
total_damage_taken_1, 77382
average_vision_score_1, 22
total_wards_placed_1, 46
average_creep_score_1, 109
average_champion_experience_1, 12408
dmg_carry_1, 112
obj_carry_1, 112
team_comp_1_champ_1, Garen
team_comp_1_champ_2, Sejuani
team_comp_1_champ_3, Viktor
team_comp_1_champ_4, Jinx
team_comp_1_champ_5, Yuumi
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 0
gold_spender_winner, 1
final_match_winner, 1
