total_gold_earned_0, 63555
total_gold_spent_0, 60600
total_baron_kills_0, 0
total_dragon_kills_0, 0
total_inhibitor_kils_0, 0
total_kills_0, 33
total_deaths_0, 51
total_damage_dealt_to_champions_0, 115362
total_damage_dealt_to_objectives_0, 37045
total_damage_taken_0, 153851
average_vision_score_0, 26
total_wards_placed_0, 54
average_creep_score_0, 125
average_champion_experience_0, 14634
dmg_carry_0, 887
obj_carry_0, 887
team_comp_0_champ_1, Olaf
team_comp_0_champ_2, Gwen
team_comp_0_champ_3, Singed
team_comp_0_champ_4, Ashe
team_comp_0_champ_5, Seraphine
total_gold_earned_1, 72401
total_gold_spent_1, 64068
total_baron_kills_1, 1
total_dragon_kills_1, 4
total_inhibitor_kils_1, 2
total_kills_1, 51
total_deaths_1, 33
total_damage_dealt_to_champions_1, 124171
total_damage_dealt_to_objectives_1, 82747
total_damage_taken_1, 151213
average_vision_score_1, 34
total_wards_placed_1, 82
average_creep_score_1, 131
average_champion_experience_1, 16881
dmg_carry_1, 122
obj_carry_1, 122
team_comp_1_champ_1, Darius
team_comp_1_champ_2, Ekko
team_comp_1_champ_3, Zed
team_comp_1_champ_4, Twitch
team_comp_1_champ_5, Rell
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 1
