total_gold_earned_0, 55531
total_gold_spent_0, 52025
total_baron_kills_0, 0
total_dragon_kills_0, 0
total_inhibitor_kils_0, 0
total_kills_0, 22
total_deaths_0, 43
total_damage_dealt_to_champions_0, 76299
total_damage_dealt_to_objectives_0, 47018
total_damage_taken_0, 132861
average_vision_score_0, 16
total_wards_placed_0, 38
average_creep_score_0, 112
average_champion_experience_0, 12119
dmg_carry_0, 420
obj_carry_0, 420
team_comp_0_champ_1, Illaoi
team_comp_0_champ_2, MasterYi
team_comp_0_champ_3, Veigar
team_comp_0_champ_4, MissFortune
team_comp_0_champ_5, Blitzcrank
total_gold_earned_1, 62660
total_gold_spent_1, 57865
total_baron_kills_1, 1
total_dragon_kills_1, 4
total_inhibitor_kils_1, 4
total_kills_1, 43
total_deaths_1, 22
total_damage_dealt_to_champions_1, 106041
total_damage_dealt_to_objectives_1, 82471
total_damage_taken_1, 101900
average_vision_score_1, 25
total_wards_placed_1, 59
average_creep_score_1, 112
average_champion_experience_1, 14723
dmg_carry_1, 48
obj_carry_1, 48
team_comp_1_champ_1, Malphite
team_comp_1_champ_2, Trundle
team_comp_1_champ_3, Yasuo
team_comp_1_champ_4, Caitlyn
team_comp_1_champ_5, Zyra
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 0
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 1
