total_gold_earned_0, 77799
total_gold_spent_0, 69660
total_baron_kills_0, 2
total_dragon_kills_0, 3
total_inhibitor_kils_0, 1
total_kills_0, 41
total_deaths_0, 38
total_damage_dealt_to_champions_0, 134459
total_damage_dealt_to_objectives_0, 113809
total_damage_taken_0, 145998
average_vision_score_0, 39
total_wards_placed_0, 90
average_creep_score_0, 142
average_champion_experience_0, 17506
dmg_carry_0, 777
obj_carry_0, 777
team_comp_0_champ_1, Yone
team_comp_0_champ_2, MonkeyKing
team_comp_0_champ_3, Heimerdinger
team_comp_0_champ_4, Varus
team_comp_0_champ_5, Xerath
total_gold_earned_1, 67693
total_gold_spent_1, 64875
total_baron_kills_1, 0
total_dragon_kills_1, 2
total_inhibitor_kils_1, 0
total_kills_1, 37
total_deaths_1, 41
total_damage_dealt_to_champions_1, 117132
total_damage_dealt_to_objectives_1, 53230
total_damage_taken_1, 154458
average_vision_score_1, 36
total_wards_placed_1, 63
average_creep_score_1, 135
average_champion_experience_1, 15308
dmg_carry_1, 17
obj_carry_1, 17
team_comp_1_champ_1, Teemo
team_comp_1_champ_2, Belveth
team_comp_1_champ_3, Jayce
team_comp_1_champ_4, Ashe
team_comp_1_champ_5, Seraphine
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
