total_gold_earned_0, 46260
total_gold_spent_0, 40600
total_baron_kills_0, 0
total_dragon_kills_0, 2
total_inhibitor_kils_0, 3
total_kills_0, 28
total_deaths_0, 11
total_damage_dealt_to_champions_0, 64124
total_damage_dealt_to_objectives_0, 61598
total_damage_taken_0, 47628
average_vision_score_0, 18
total_wards_placed_0, 36
average_creep_score_0, 83
average_champion_experience_0, 9570
dmg_carry_0, 83
obj_carry_0, 83
team_comp_0_champ_1, Yorick
team_comp_0_champ_2, Poppy
team_comp_0_champ_3, Lux
team_comp_0_champ_4, Ezreal
team_comp_0_champ_5, Xerath
total_gold_earned_1, 31409
total_gold_spent_1, 28915
total_baron_kills_1, 0
total_dragon_kills_1, 1
total_inhibitor_kils_1, 0
total_kills_1, 11
total_deaths_1, 28
total_damage_dealt_to_champions_1, 29905
total_damage_dealt_to_objectives_1, 7907
total_damage_taken_1, 84103
average_vision_score_1, 12
total_wards_placed_1, 29
average_creep_score_1, 72
average_champion_experience_1, 7874
dmg_carry_1, 6
obj_carry_1, 6
team_comp_1_champ_1, Urgot
team_comp_1_champ_2, Nocturne
team_comp_1_champ_3, Ekko
team_comp_1_champ_4, Xayah
team_comp_1_champ_5, Lulu
gameLengthMin, 21
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
