total_gold_earned_0, 39940
total_gold_spent_0, 37835
total_baron_kills_0, 0
total_dragon_kills_0, 1
total_inhibitor_kils_0, 0
total_kills_0, 6
total_deaths_0, 29
total_damage_dealt_to_champions_0, 56577
total_damage_dealt_to_objectives_0, 28808
total_damage_taken_0, 99869
average_vision_score_0, 21
total_wards_placed_0, 39
average_creep_score_0, 114
average_champion_experience_0, 9696
dmg_carry_0, 875
obj_carry_0, 875
team_comp_0_champ_1, Sett
team_comp_0_champ_2, Ekko
team_comp_0_champ_3, Taliyah
team_comp_0_champ_4, Sivir
team_comp_0_champ_5, Blitzcrank
total_gold_earned_1, 50022
total_gold_spent_1, 42600
total_baron_kills_1, 1
total_dragon_kills_1, 3
total_inhibitor_kils_1, 1
total_kills_1, 29
total_deaths_1, 7
total_damage_dealt_to_champions_1, 81252
total_damage_dealt_to_objectives_1, 54190
total_damage_taken_1, 93063
average_vision_score_1, 20
total_wards_placed_1, 46
average_creep_score_1, 118
average_champion_experience_1, 12076
dmg_carry_1, 58
obj_carry_1, 58
team_comp_1_champ_1, Renekton
team_comp_1_champ_2, Trundle
team_comp_1_champ_3, Seraphine
team_comp_1_champ_4, MissFortune
team_comp_1_champ_5, Soraka
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 0
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 1
