total_gold_earned_0, 52147
total_gold_spent_0, 45883
total_baron_kills_0, 1
total_dragon_kills_0, 3
total_inhibitor_kils_0, 1
total_kills_0, 34
total_deaths_0, 13
total_damage_dealt_to_champions_0, 86257
total_damage_dealt_to_objectives_0, 75533
total_damage_taken_0, 85410
average_vision_score_0, 28
total_wards_placed_0, 54
average_creep_score_0, 99
average_champion_experience_0, 11798
dmg_carry_0, 221
obj_carry_0, 221
team_comp_0_champ_1, Poppy
team_comp_0_champ_2, Hecarim
team_comp_0_champ_3, Cassiopeia
team_comp_0_champ_4, Zeri
team_comp_0_champ_5, Karma
total_gold_earned_1, 37241
total_gold_spent_1, 35860
total_baron_kills_1, 0
total_dragon_kills_1, 0
total_inhibitor_kils_1, 0
total_kills_1, 13
total_deaths_1, 34
total_damage_dealt_to_champions_1, 51553
total_damage_dealt_to_objectives_1, 9918
total_damage_taken_1, 104941
average_vision_score_1, 18
total_wards_placed_1, 45
average_creep_score_1, 94
average_champion_experience_1, 9300
dmg_carry_1, 14
obj_carry_1, 14
team_comp_1_champ_1, Sion
team_comp_1_champ_2, Ekko
team_comp_1_champ_3, XinZhao
team_comp_1_champ_4, Kaisa
team_comp_1_champ_5, Nautilus
gameLengthMin, 0
dmg_to_champs_winner, 0
dmg_to_obj_winner, 0
vision_winner, 0
cs_winner, 0
champ_experience_winner, 0
wards_placed_winner, 0
gold_spender_winner, 0
final_match_winner, 0
