total_gold_earned_0, 38380
total_gold_spent_0, 33820
total_baron_kills_0, 0
total_dragon_kills_0, 0
total_inhibitor_kils_0, 0
total_kills_0, 19
total_deaths_0, 32
total_damage_dealt_to_champions_0, 57663
total_damage_dealt_to_objectives_0, 26368
total_damage_taken_0, 89452
average_vision_score_0, 8
total_wards_placed_0, 24
average_creep_score_0, 75
average_champion_experience_0, 8630
dmg_carry_0, 51
obj_carry_0, 51
team_comp_0_champ_1, Sett
team_comp_0_champ_2, XinZhao
team_comp_0_champ_3, Talon
team_comp_0_champ_4, Caitlyn
team_comp_0_champ_5, Thresh
total_gold_earned_1, 49858
total_gold_spent_1, 43975
total_baron_kills_1, 0
total_dragon_kills_1, 3
total_inhibitor_kils_1, 3
total_kills_1, 32
total_deaths_1, 20
total_damage_dealt_to_champions_1, 71230
total_damage_dealt_to_objectives_1, 55873
total_damage_taken_1, 88034
average_vision_score_1, 13
total_wards_placed_1, 32
average_creep_score_1, 82
average_champion_experience_1, 10763
dmg_carry_1, 77
obj_carry_1, 77
team_comp_1_champ_1, Udyr
team_comp_1_champ_2, Ekko
team_comp_1_champ_3, Jax
team_comp_1_champ_4, Vayne
team_comp_1_champ_5, Zilean
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 1
gold_spender_winner, 1
final_match_winner, 1
